"Player","Team","Positions","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS"
"Jose Altuve","HOU","2B","582","95","19","76","22",".320",".381","186","35","4","57","84",".488",".868"
"Javier Baez","CHC","2B,3B,SS","574","87","30","96","18",".281",".317","161","34","7","31","161",".518",".836"
"Jose Ramirez","CLE","2B,3B","565","102","31","96","26",".288",".379","163","41","5","83","76",".543",".922"
"Whit Merrifield","KC","1B,2B,CF,RF,DH","596","85","13","64","36",".289",".343","172","39","4","49","112",".434",".777"
"Ozzie Albies","ATL","2B","588","91","21","68","15",".266",".312","157","34","6","39","109",".451",".762"
"Raul Adalberto Mondesi","KC","2B,SS","545","80","20","70","48",".251",".287","137","27","7","28","155",".432",".719"
"Daniel Murphy","COL","1B,2B","504","74","21","77","5",".309",".359","156","35","3","39","70",".512",".870"
"Gleyber Torres","NYY","2B,SS","529","69","25","88","9",".271",".336","144","23","2","52","141",".462",".798"
"Scooter Gennett","CIN","2B","552","78","23","87","5",".290",".337","160","29","3","39","123",".476",".812"
"Matt Carpenter","STL","1B,2B,3B","534","99","29","75","3",".254",".371","136","37","1","99","144",".495",".865"
"Robinson Cano","NYM","2B","570","80","23","88","1",".282",".343","161","34","1","53","88",".461",".804"
"Dee Gordon","SEA","2B,CF","584","78","4","39","39",".278",".300","163","20","8","18","90",".359",".658"
"Rougned Odor","TEX","2B,DH","552","80","24","76","14",".251",".302","138","28","3","40","142",".440",".742"
"Jonathan Villar","BAL","2B,SS","522","65","15","54","37",".257",".320","134","21","2","48","153",".391",".711"
"Travis Shaw","MIL","3B,2B","507","75","28","88","6",".254",".338","129","27","1","65","121",".479",".817"
"Brian Dozier","WSH","2B","526","84","26","75","13",".240",".321","126","26","3","63","122",".447",".768"
"Max Muncy","LAD","1B,2B,3B","434","73","29","73","3",".250",".361","109","20","2","75","134",".502",".863"
"Yoan Moncada","CWS","2B","568","79","19","64","14",".241",".324","137","29","5","70","206",".414",".737"
"Jurickson Profar","OAK","1B,2B,3B,SS","530","77","18","70","9",".257",".323","137","33","5","52","92",".438",".761"
"Jonathan Schoop","MIN","2B","523","74","25","79","1",".264",".296","138","30","1","24","123",".467",".763"
"Cesar Hernandez","PHI","2B","553","83","11","50","17",".266",".355","147","19","4","77","130",".376",".731"
"Lourdes Gurriel Jr.","TOR","2B,SS","559","67","20","81","6",".271",".301","152","27","1","24","128",".429",".730"
"DJ LeMahieu","NYY","2B","457","72","11","51","6",".277",".336","127","22","1","41","73",".406",".742"
"Ketel Marte","ARI","2B,SS","538","69","13","59","8",".264",".327","142","28","9","50","85",".420",".746"
"Willy Adames","TB","2B,SS","459","63","13","54","9",".260",".329","119","20","3","47","135",".392",".721"
"Joe Wendle","TB","2B,LF","492","61","8","60","14",".278",".323","137","29","5","33","103",".407",".729"
"Chris Taylor","LAD","2B,SS,LF,CF","531","80","17","64","12",".260",".327","138","32","7","53","161",".442",".769"
"Jed Lowrie","NYM","2B,3B","542","70","16","73","0",".260",".342","141","31","2","67","112",".417",".758"
"Garrett Hampson","COL","2B,SS","353","45","5","34","16",".275",".333","97","22","5","31","75",".403",".736"
"Starlin Castro","MIA","2B","574","71","14","62","6",".273",".320","157","31","2","40","123",".408",".728"
"Marwin Gonzalez","","1B,2B,SS,LF","477","60","17","68","5",".264",".329","126","28","2","46","115",".437",".765"
"Asdrubal Cabrera","TEX","2B,3B,SS","513","72","21","73","2",".278",".332","143","35","1","41","106",".467",".799"
"Ian Kinsler","SD","2B","454","62","14","46","13",".245",".302","111","22","1","37","75",".393",".694"
"Wilmer Flores","ARI","1B,2B,3B","390","48","15","58","1",".269",".319","105","24","1","28","52",".445",".764"
"Jason Kipnis","CLE","2B,CF,DH","492","64","16","65","8",".241",".313","119","30","2","52","109",".405",".718"
"Ryan McMahon","COL","1B,2B,3B","360","45","13","50","4",".265",".323","95","22","3","31","104",".450",".773"
"Zack Cozart","LAA","2B,3B,SS","475","70","17","55","2",".257",".326","122","26","4","49","87",".439",".765"
