"Player","Team","Positions","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS"
"Mike Trout","LAA","CF,DH","515","116","40","96","25",".313",".447","161","29","5","125","129",".621","1.068"
"Mookie Betts","BOS","CF,RF","589","120","30","89","27",".310",".390","183","45","4","77","96",".554",".943"
"J.D. Martinez","BOS","LF,RF,DH","546","100","40","119","5",".314",".386","171","34","2","65","148",".606",".992"
"Christian Yelich","MIL","LF,CF,RF","577","105","27","95","17",".302",".381","175","36","4","73","136",".522",".903"
"Ronald Acuna","ATL","LF,CF","591","97","31","92","23",".279",".345","165","34","4","60","166",".505",".851"
"Bryce Harper","","CF,RF","503","96","32","93","11",".267",".395","134","29","1","106","142",".522",".916"
"Aaron Judge","NYY","RF,DH","517","103","38","93","8",".272",".388","141","25","1","99","192",".545",".934"
"Giancarlo Stanton","NYY","LF,RF,DH","557","97","41","104","4",".269",".346","150","28","1","66","180",".544",".890"
"Charlie Blackmon","COL","CF","595","108","29","75","13",".298",".357","177","30","7","55","126",".519",".876"
"Andrew Benintendi","BOS","LF,CF","580","97","17","85","19",".286",".362","166","39","5","69","108",".457",".819"
"Kris Bryant","CHC","3B,RF","556","98","26","80","6",".281",".371","156","37","4","79","145",".503",".873"
"Juan Soto","WSH","LF","533","94","29","92","7",".289",".394","154","29","2","92","127",".513",".907"
"Starling Marte","PIT","CF","554","81","18","67","35",".283",".325","157","31","5","35","113",".450",".775"
"Khris Davis","OAK","LF,DH","567","94","44","115","1",".246",".318","140","27","1","60","180",".529",".848"
"Cody Bellinger","LAD","1B,CF","533","85","30","87","12",".260",".340","138","27","6","65","148",".499",".840"
"Whit Merrifield","KC","1B,2B,CF,RF,DH","596","85","13","64","36",".289",".343","172","39","4","49","112",".434",".777"
"Rhys Hoskins","PHI","1B,LF","550","93","36","102","5",".248",".348","137","32","1","84","144",".505",".852"
"George Springer","HOU","CF,RF,DH","569","104","28","77","7",".269",".347","153","29","1","68","129",".466",".813"
"Lorenzo Cain","MIL","CF","563","87","13","51","26",".296",".367","167","27","3","63","105",".422",".789"
"Marcell Ozuna","STL","LF","575","78","27","97","2",".288",".341","166","23","3","46","121",".480",".820"
"Tommy Pham","TB","LF,CF","503","95","22","69","18",".275",".363","138","20","5","69","149",".468",".830"
