"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Edwin Diaz","NYM","RP","66.1","103","38","3","0","2.32","0.96","17","42","21","6","67","4","4"
"Kenley Jansen","LAD","RP","63.0","81","40","5","0","2.86","1.01","20","49","14","9","66","3","3"
"Craig Kimbrel","","RP","64.5","101","29","4","0","2.65","1.03","19","38","28","7","67","3","3"
"Blake Treinen","OAK","RP","72.6","84","32","5","0","2.42","1.10","20","57","23","5","68","4","3"
"Aroldis Chapman","NYY","RP","57.0","94","35","4","0","2.57","1.09","16","35","28","5","62","3","3"
"Roberto Osuna","HOU","RP","60.5","66","37","5","0","2.94","0.99","20","50","10","7","64","3","3"
"Felipe Vazquez","PIT","RP","66.8","84","35","4","0","2.69","1.16","20","55","23","6","69","3","4"
"Brad Hand","CLE","RP","68.8","95","38","7","0","3.01","1.13","23","53","25","8","68","4","3"
"Sean Doolittle","WSH","RP","56.5","72","32","3","0","2.55","0.91","16","40","12","7","59","3","3"
"Raisel Iglesias","CIN","RP","70.8","82","33","4","0","3.18","1.16","25","57","25","9","62","3","4"
"Josh Hader","MIL","RP","74.5","124","8","3","22","2.39","0.97","20","42","31","8","61","4","4"
"Kirby Yates","SD","RP","61.3","88","30","5","0","3.05","1.07","21","46","20","8","66","3","4"
"Corey Knebel","MIL","RP","62.3","97","26","4","8","2.93","1.15","20","43","28","7","64","3","4"
"Wade Davis","COL","RP","63.3","78","35","4","0","3.63","1.19","26","48","27","8","64","3","3"
"Ken Giles","TOR","RP","62.0","74","31","3","0","3.70","1.19","26","57","17","8","63","3","3"
"Jose Leclerc","TEX","RP","61.8","89","28","6","0","2.88","1.18","20","37","36","7","65","3","3"
"Cody Allen","LAA","RP","63.5","81","26","5","0","4.14","1.30","29","55","28","9","63","3","4"
"David Robertson","PHI","RP","66.0","91","24","6","7","2.97","1.08","22","46","25","8","65","3","4"
"Andrew Miller","STL","RP","58.5","84","20","3","11","2.96","1.17","19","45","24","6","63","3","3"
"Will Smith","SF","RP","57.3","74","26","6","0","2.83","1.10","18","44","19","5","61","3","3"
"Archie Bradley","ARI","RP","63.3","69","25","6","4","3.56","1.27","25","58","22","7","68","3","4"
"Brandon Morrow","CHC","RP","46.0","49","29","4","0","2.89","1.16","15","40","14","5","56","3","2"
"Tyler Glasnow","TB","SP,RP","129.8","153","0","0","0","4.13","1.35","60","112","64","17","27","7","8"
"Dellin Betances","NYY","RP","59.3","100","3","2","24","2.54","1.11","17","38","28","6","62","3","3"
"Arodys Vizcaino","ATL","RP","59.5","67","29","4","1","3.29","1.24","22","49","25","8","62","3","3"
"Jose Alvarado","TB","RP","60.0","76","30","7","2","2.81","1.23","19","45","29","5","70","3","3"
"A.J. Minter","ATL","RP","59.5","72","6","3","18","3.18","1.27","21","54","22","6","66","3","4"
"Jordan Hicks","STL","RP","65.0","64","16","6","9","3.74","1.39","27","53","37","4","67","3","4"
"Mychal Antonio Givens","BAL","RP","65.8","74","25","5","0","3.66","1.23","27","55","27","9","66","2","4"
"Ross Stripling","LAD","SP,RP","117.0","123","1","0","0","3.46","1.21","45","115","26","14","39","8","6"
"Seranthony Dominguez","PHI","SP,RP","67.8","89","9","2","17","2.99","1.08","23","45","28","7","63","3","3"
"Alex Colome","CWS","RP","61.3","64","14","5","13","3.38","1.22","23","55","20","7","59","2","4"
"Shane Greene","DET","RP","67.3","71","29","6","0","4.25","1.34","32","65","25","9","66","3","4"
"Drew Steckenrider","MIA","RP","65.1","80","22","5","0","3.49","1.29","25","56","29","8","69","3","4"
"Pedro Strop","CHC","RP","58.1","62","8","4","19","3.02","1.16","20","45","23","6","65","3","3"
"Collin McHugh","HOU","RP, SP","152.5","161","0","0","0","3.70","1.24","63","142","47","20","30","12","6"
"Kelvin Herrera","CWS","RP","59.3","59","17","5","11","3.61","1.25","24","57","17","9","65","3","4"
"Adam Ottavino","NYY","RP","66.8","93","3","3","29","3.23","1.23","24","47","35","8","71","3","4"
"Trevor May","MIN","SP,RP","61.0","80","16","4","8","3.83","1.24","26","56","20","9","62","2","3"
"Blake Parker","MIN","RP","61.0","67","13","2","9","3.76","1.20","26","55","19","9","65","3","3"
"Jeremy Jeffress","MIL","RP","63.0","68","5","2","20","3.18","1.28","22","55","25","6","62","4","3"
"Jeurys Familia","NYM","RP","61.8","70","4","3","24","3.35","1.27","23","52","26","5","66","3","4"
"Chad Green","NYY","RP","65.0","84","1","1","16","2.87","1.05","21","52","17","9","51","4","3"
"Zach Britton","NYY","RP","55.5","52","3","2","17","3.08","1.30","19","47","26","4","62","3","2"
"Bradley Boxberger","KC","RP","55.1","73","25","7","0","4.36","1.43","27","47","32","7","59","2","3"
"Mark Melancon","SF","RP","49.3","43","6","2","11","3.47","1.41","19","54","15","5","55","2","3"
"Anthony Swarzak","SEA","RP","56.6","65","15","2","8","4.22","1.32","27","53","22","9","61","2","3"
"Keone Kela","PIT","RP","57.0","74","2","2","19","3.20","1.13","20","42","23","6","62","3","3"
"Matt Barnes","BOS","RP","62.3","87","12","4","7","3.43","1.28","24","50","30","6","64","4","3"
"Hunter Strickland","SEA","RP","51.4","48","14","6","6","3.74","1.43","21","50","24","6","54","2","3"
"Brad Peacock","HOU","RP, SP","81.1","98","0","1","13","3.75","1.24","34","69","31","14","57","5","5"
