"Player","Team","Positions","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS"
"Francisco Lindor","CLE","SS","579","105","30","83","20",".280",".348","162","37","2","61","92",".504",".852"
"Trea Turner","WSH","SS","592","95","18","67","45",".280",".340","166","29","7","54","120",".441",".781"
"Manny Machado","","3B,SS","575","84","33","96","9",".288",".354","166","32","3","59","101",".528",".881"
"Alex Bregman","HOU","3B,SS","566","97","27","92","11",".287",".374","162","44","2","79","89",".518",".892"
"Trevor Story","COL","SS","565","82","33","97","20",".278",".334","157","37","5","48","172",".533",".867"
"Javier Baez","CHC","2B,3B,SS","574","87","30","96","18",".281",".317","161","34","7","31","161",".518",".836"
"Carlos Correa","HOU","SS","547","84","24","94","5",".268",".351","147","30","2","70","135",".461",".812"
"Xander Bogaerts","BOS","SS","574","87","21","92","11",".286",".351","164","40","4","58","114",".476",".827"
"Raul Adalberto Mondesi","KC","2B,SS","545","80","20","70","48",".251",".287","137","27","7","28","155",".432",".719"
"Corey Seager","LAD","SS","541","85","21","74","4",".288",".358","156","32","2","60","118",".473",".831"
"Jean Segura","PHI","SS","594","92","13","63","22",".294",".335","175","32","3","36","86",".422",".757"
"Gleyber Torres","NYY","2B,SS","529","69","25","88","9",".271",".336","144","23","2","52","141",".462",".798"
"Jose Peraza","CIN","SS","601","75","12","57","23",".282",".314","169","28","4","29","79",".401",".715"
"Jonathan Villar","BAL","2B,SS","522","65","15","54","37",".257",".320","134","21","2","48","153",".391",".711"
"Tim Anderson","CWS","SS","573","74","18","62","21",".252",".283","145","28","4","25","153",".407",".690"
"Elvis Andrus","TEX","SS","554","75","11","60","13",".272",".323","151","32","5","42","91",".405",".728"
"Jurickson Profar","OAK","1B,2B,3B,SS","530","77","18","70","9",".257",".323","137","33","5","52","92",".438",".761"
"Paul DeJong","STL","SS","479","67","23","72","2",".255",".303","122","28","1","33","137",".462",".766"
"Amed Rosario","NYM","SS","553","71","11","55","22",".259",".296","143","26","7","30","122",".390",".686"
"Andrelton Simmons","LAA","SS","547","68","11","69","12",".288",".335","157","29","4","39","52",".419",".754"
"Marcus Semien","OAK","SS","558","80","17","67","13",".252",".318","141","30","2","54","124",".402",".719"
"Lourdes Gurriel Jr.","TOR","2B,SS","559","67","20","81","6",".271",".301","152","27","1","24","128",".429",".730"
"Jorge Polanco","MIN","SS","553","69","14","75","13",".272",".326","150","31","6","45","109",".422",".748"
"Eduardo Escobar","ARI","3B,SS","541","68","21","76","3",".259",".317","140","35","5","45","120",".456",".772"
"Ketel Marte","ARI","2B,SS","538","69","13","59","8",".264",".327","142","28","9","50","85",".420",".746"
"Chris Taylor","LAD","2B,SS,LF,CF","531","80","17","64","12",".260",".327","138","32","7","53","161",".442",".769"
"Willy Adames","TB","2B,SS","459","63","13","54","9",".260",".329","119","20","3","47","135",".392",".721"
